initial_mass,initial_Z,star_age,model_number,log_Teff,log_L,log_g
1.4,0.008,2240937000.0,41536,3.71333439,3.930081,0.11406758
1.4,0.008,2240937000.0,41534,3.71326936,3.93001419,0.11387452
1.4,0.008,2240937000.0,41513,3.71276849,3.93007081,0.11181672
1.4,0.008,2240937000.0,41512,3.71275866,3.93010135,0.11174695
1.4,0.008,2240937000.0,41511,3.71271474,3.9300339,0.11163886
1.4,0.008,2240937000.0,41510,3.7126911,3.93005194,0.11152641
1.4,0.008,2240937000.0,41509,3.71267079,3.93004564,0.11145155
1.4,0.008,2240937000.0,41508,3.71264512,3.93001101,0.11138359
1.4,0.008,2240937000.0,41507,3.71263386,3.93004295,0.1113067
1.4,0.008,2240937000.0,41514,3.71277711,3.93001584,0.11190608
1.4,0.008,2240937000.0,41506,3.71260268,3.93004123,0.11118382
1.4,0.008,2240937000.0,41504,3.71255776,3.93002009,0.11102549
1.4,0.008,2240937000.0,41503,3.71254311,3.93002136,0.11096571
1.4,0.008,2240937000.0,41502,3.71253012,3.9300393,0.11089587
1.4,0.008,2240937000.0,41501,3.71250197,3.93005506,0.11076766
1.4,0.008,2240937000.0,41500,3.71247843,3.93004288,0.11068577
1.4,0.008,2240937000.0,41816,3.7205565,3.93001498,0.14299133
1.4,0.008,2240937000.0,41499,3.71245294,3.93000358,0.11062321
1.4,0.008,2240937000.0,41505,3.71257714,3.93002855,0.11109444
1.4,0.008,2240937000.0,41535,3.71330224,3.93005435,0.11396578
1.4,0.008,2240937000.0,41515,3.71280067,3.9300109,0.11200516
1.4,0.008,2240937000.0,41517,3.71286743,3.93008637,0.11219649
1.4,0.008,2240937000.0,41533,3.71323962,3.93002669,0.11374316
1.4,0.008,2240937000.0,41532,3.71319178,3.93000597,0.11357258
1.4,0.008,2240937000.0,41531,3.71318402,3.93009927,0.11344833
1.4,0.008,2240937000.0,41530,3.71314547,3.93003339,0.11336015
1.4,0.008,2240937000.0,41529,3.71312346,3.93006133,0.11324428
1.4,0.008,2240937000.0,41528,3.71310628,3.93006058,0.1131764
1.4,0.008,2240937000.0,41527,3.71308712,3.93003477,0.11312566
1.4,0.008,2240937000.0,41516,3.71283577,3.93007377,0.11208257
1.4,0.008,2240937000.0,41526,3.71308386,3.9300965,0.11305098
1.4,0.008,2240937000.0,41524,3.71302736,3.93003759,0.11288415
1.4,0.008,2240937000.0,41523,3.71300889,3.93003962,0.11280829
1.4,0.008,2240937000.0,41522,3.71300139,3.93009808,0.11271996
1.4,0.008,2240937000.0,41521,3.71296985,3.93006822,0.11262378
1.4,0.008,2240937000.0,41520,3.71293917,3.93002294,0.11254647
1.4,0.008,2240937000.0,41519,3.71292514,3.93005577,0.11245762
1.4,0.008,2240937000.0,41518,3.71290341,3.93004282,0.11238377
1.4,0.008,2240937000.0,41525,3.71305063,3.93004374,0.11297095
1.4,0.008,2240937000.0,41576,3.71419747,3.92999001,0.1176067
1.4,0.008,2240937000.0,41577,3.71422444,3.93004664,0.11765786
1.4,0.008,2240937000.0,41578,3.71424677,3.93005045,0.11774325
1.4,0.008,2240937000.0,41635,3.71567615,3.93002872,0.12347611
1.4,0.008,2240937000.0,41634,3.71565179,3.9299935,0.12341395
1.4,0.008,2240937000.0,41633,3.71564834,3.93004839,0.12334533
1.4,0.008,2240937000.0,41632,3.71563424,3.93003199,0.1233054
1.4,0.008,2240937000.0,41631,3.71560253,3.92998725,0.12322342
1.4,0.008,2240937000.0,41630,3.71556923,3.92993147,0.12314613
1.4,0.008,2240937000.0,41629,3.71555116,3.92998339,0.12302199
1.4,0.008,2240937000.0,41636,3.71569947,3.93002682,0.12357115
1.4,0.008,2240937000.0,41628,3.71555525,3.93015087,0.12287096
1.4,0.008,2240937000.0,41626,3.71543672,3.93005149,0.12249674
1.4,0.008,2240937000.0,41625,3.71539178,3.93003806,0.12233058
1.4,0.008,2240937000.0,41624,3.71534675,3.93010338,0.1220854
1.4,0.008,2240937000.0,41623,3.71529533,3.93002255,0.12196075
1.4,0.008,2240937000.0,41622,3.71526358,3.93007153,0.1217849
1.4,0.008,2240937000.0,41621,3.71522715,3.93002097,0.12168989
1.4,0.008,2240937000.0,41620,3.71520382,3.93004936,0.12156829
1.4,0.008,2240937000.0,41627,3.71548991,3.93008767,0.12267307
1.4,0.008,2240937000.0,41619,3.71517862,3.93005206,0.12146484
1.4,0.008,2240937000.0,41637,3.71573124,3.93001935,0.12370557
1.4,0.008,2240937000.0,41639,3.71581718,3.93006196,0.12400641
1.4,0.008,2240937000.0,41655,3.71624039,3.9300148,0.1257445
1.4,0.008,2240937000.0,41654,3.71620922,3.92997968,0.12565502
1.4,0.008,2240937000.0,41653,3.71617745,3.92997162,0.12553611
1.4,0.008,2240937000.0,41652,3.71617657,3.93008785,0.12541644
1.4,0.008,2240937000.0,41651,3.71613731,3.9300381,0.12530929
1.4,0.008,2240937000.0,41650,3.71610967,3.93003393,0.12520301
1.4,0.008,2240937000.0,41649,3.71608673,3.93001723,0.12512803
1.4,0.008,2240937000.0,41638,3.71577177,3.93003314,0.12385376
1.4,0.008,2240937000.0,41648,3.71607336,3.93003813,0.12505373
1.4,0.008,2240937000.0,41646,3.71602567,3.92999415,0.12490719
1.4,0.008,2240937000.0,41645,3.71599086,3.92994744,0.12481475
1.4,0.008,2240937000.0,41644,3.71597824,3.9300052,0.12470661
1.4,0.008,2240937000.0,41643,3.71596072,3.92999819,0.1246436
1.4,0.008,2240937000.0,41642,3.71595605,3.93006781,0.12455539
1.4,0.008,2240937000.0,41641,3.71592653,3.93010185,0.12440344
1.4,0.008,2240937000.0,41640,3.7158661,3.93005432,0.12420952
1.4,0.008,2240937000.0,41647,3.71606356,3.93006826,0.12498449
1.4,0.008,2240937000.0,41618,3.7151605,3.93005763,0.12138692
1.4,0.008,2240937000.0,41617,3.7151266,3.93008205,0.12122702
1.4,0.008,2240937000.0,41616,3.71508845,3.93001792,0.12113867
1.4,0.008,2240937000.0,41594,3.71462891,3.93006055,0.11926006
1.4,0.008,2240937000.0,41593,3.71461525,3.93008932,0.11917672
1.4,0.008,2240937000.0,41592,3.71456767,3.93006817,0.11900768
1.4,0.008,2240937000.0,41591,3.71454609,3.93005154,0.11893807
1.4,0.008,2240937000.0,41590,3.71452373,3.93001878,0.11888147
1.4,0.008,2240937000.0,41589,3.71451305,3.93006572,0.11879193
1.4,0.008,2240937000.0,41588,3.71447561,3.93004502,0.11866299
1.4,0.008,2240937000.0,41595,3.71464179,3.93003859,0.11933346
1.4,0.008,2240937000.0,41587,3.71444923,3.93002591,0.11857671
1.4,0.008,2240937000.0,41585,3.71440842,3.93000309,0.11843647
1.4,0.008,2240937000.0,41584,3.71439406,3.93003768,0.11834453
1.4,0.008,2240937000.0,41583,3.71436623,3.93009045,0.1181806
1.4,0.008,2240937000.0,41582,3.7143354,3.93005098,0.11809685
1.4,0.008,2240937000.0,41581,3.71432153,3.93008144,0.118011
1.4,0.008,2240937000.0,41580,3.7143034,3.93005599,0.11796401
1.4,0.008,2240937000.0,41579,3.71428721,3.93006199,0.11789336
1.4,0.008,2240937000.0,41586,3.71442803,3.93001576,0.11850218
1.4,0.008,2240937000.0,41596,3.71466727,3.93008219,0.11939169
1.4,0.008,2240937000.0,41597,3.71468869,3.93005838,0.11950107
1.4,0.008,2240937000.0,41598,3.71472313,3.93006295,0.11963413
1.4,0.008,2240937000.0,41615,3.7150644,3.93001947,0.12104104
1.4,0.008,2240937000.0,41614,3.71504179,3.93000161,0.12096853
1.4,0.008,2240937000.0,41613,3.71503623,3.9300496,0.12089838
1.4,0.008,2240937000.0,41612,3.71502156,3.93003962,0.12084978
1.4,0.008,2240937000.0,41611,3.7149962,3.93003818,0.1207499
1.4,0.008,2240937000.0,41610,3.7149676,3.92998604,0.12068774
1.4,0.008,2240937000.0,41609,3.71494369,3.92997325,0.12060496
1.4,0.008,2240937000.0,41608,3.71494168,3.93008383,0.12048644
1.4,0.008,2240937000.0,41607,3.7149061,3.93006546,0.1203626
1.4,0.008,2240937000.0,41606,3.71487941,3.93005731,0.12026411
1.4,0.008,2240937000.0,41605,3.71485575,3.93003217,0.12019473
1.4,0.008,2240937000.0,41604,3.71484553,3.93005894,0.12012715
1.4,0.008,2240937000.0,41603,3.71482733,3.93004299,0.12007037
1.4,0.008,2240937000.0,41602,3.71480017,3.93006994,0.11993491
1.4,0.008,2240937000.0,41601,3.71476998,3.93001658,0.11986763
1.4,0.008,2240937000.0,41600,3.71474532,3.92998943,0.11979624
1.4,0.008,2240937000.0,41599,3.71473396,3.93002399,0.1197163
1.4,0.008,2240937000.0,41657,3.71630856,3.9300712,0.12596052
1.4,0.008,2240937000.0,41817,3.72057319,3.93000636,0.14306661
1.4,0.008,2240937000.0,42014,3.72619675,3.93002595,0.16552153
1.4,0.008,2240937000.0,41819,3.72063737,3.92999272,0.14333672
1.4,0.008,2240937000.0,42037,3.72695354,3.92992793,0.16864443
1.4,0.008,2240937000.0,42036,3.72693286,3.92997213,0.16851762
1.4,0.008,2240937000.0,42035,3.72692286,3.93006219,0.16838764
1.4,0.008,2240937000.0,42034,3.72688003,3.93004199,0.16823665
1.4,0.008,2240937000.0,42033,3.72684463,3.93000668,0.16813046
1.4,0.008,2240937000.0,42032,3.7268078,3.9299391,0.16805081
1.4,0.008,2240937000.0,42031,3.72677815,3.92993878,0.16793261
1.4,0.008,2240937000.0,42038,3.72699,3.92995976,0.16875834
1.4,0.008,2240937000.0,42030,3.72677153,3.93008138,0.16776359
1.4,0.008,2240937000.0,42028,3.72668139,3.93008063,0.16740401
1.4,0.008,2240937000.0,42027,3.72658665,3.92998746,0.16711832
1.4,0.008,2240937000.0,42026,3.72656837,3.93002464,0.1670081
1.4,0.008,2240937000.0,42025,3.72651655,3.92998588,0.16683971
1.4,0.008,2240937000.0,42024,3.72647884,3.92999626,0.16667862
1.4,0.008,2240937000.0,42023,3.72644769,3.929984,0.16656639
1.4,0.008,2240937000.0,42022,3.72641815,3.92996434,0.16646796
1.4,0.008,2240937000.0,42029,3.72672142,3.93002507,0.16761956
1.4,0.008,2240937000.0,42021,3.72640599,3.9300576,0.16632614
