initial_mass,initial_Z,blue_loop_start_age,blue_loop_end_age,calculated_blue_loop_duration,instability_start_age,instability_end_age,calculated_instability_duration
6.5,0.0135,64365067.59542448,67144348.89432296,2779281.2989,64365067.59542448,67144348.89432296,2779281.2989
6.5,0.014,64675648.316803865,67472213.54105912,2796565.2243,64675648.316803865,67472213.54105912,2796565.2243
6.5,0.0145,64975305.654898606,67808506.53280556,2833200.8779,64975305.654898606,67808506.53280556,2833200.8779
6.5,0.015,65299735.37507897,68140207.9015306,2840472.5265,65299735.37507897,68140207.9015306,2840472.5265
6.5,0.0155,65592861.73629528,68470885.05211857,2878023.3158,65592861.73629528,68470885.05211857,2878023.3158
6.5,0.016,65940799.89962805,68792198.48347026,2851398.5838,65940799.89962805,68792198.48347026,2851398.5838
6.5,0.0165,66232286.35965315,69106011.98930003,2873725.6296,66232286.35965315,69106011.98930003,2873725.6296
6.5,0.017,66572760.397004105,69426528.5074773,2853768.1105,66572760.397004105,69426528.5074773,2853768.1105
6.5,0.0175,66886886.298289,69746963.30652514,2860077.0082,66886886.298289,69746963.30652514,2860077.0082
6.5,0.018,67212583.65345123,70040240.67252971,2827657.0191,67212583.65345123,70040240.67252971,2827657.0191
6.5,0.0185,67570421.37744445,70343967.30112816,2773545.9237,67570421.37744445,70343967.30112816,2773545.9237
6.5,0.019,67886521.88359079,70664665.40298593,2778143.5194,67886521.88359079,70664665.40298593,2778143.5194
6.5,0.0195,68236000.77184175,70949180.23849723,2713179.4667,68236000.77184175,70949180.23849723,2713179.4667
6.5,0.02,68584911.26410614,71237744.36196257,2652833.0979,68584911.26410614,71237744.36196257,2652833.0979
7.0,0.0015,46270998.6498265,48773816.79878664,2502818.149,46270998.6498265,48773816.79878664,2502818.149
7.0,0.002,47165976.2302966,49254742.61815266,2088766.3879,47165976.2302966,49254742.61815266,2088766.3879
7.0,0.0025,47888858.69468568,49629320.9869412,1740462.2923,47888858.69468568,49629320.9869412,1740462.2923
7.0,0.003,48579475.88648848,50058818.7221889,1479342.8357,48579475.88648848,50058818.7221889,1479342.8357
7.0,0.0035,49186463.977236055,50479253.26028929,1292789.2831,49186463.977236055,50479253.26028929,1292789.2831
7.0,0.004,49706356.952455886,50941752.53637727,1235395.5839,49706356.952455886,50941752.53637727,1235395.5839
7.0,0.0045,50007095.20645381,51350207.27776081,1343112.0713,50007095.20645381,51350207.27776081,1343112.0713
7.0,0.005,50327837.39255869,51832538.32664101,1504700.9341,50327837.39255869,51832538.32664101,1504700.9341
7.0,0.0055,50627502.631204575,52189983.016296245,1562480.3851,50627502.631204575,52189983.016296245,1562480.3851
7.0,0.006,50920758.3327946,52506098.33717437,1585340.0044,50920758.3327946,52506098.33717437,1585340.0044
7.0,0.0065,51192209.439907886,52928311.86161297,1736102.4217,51192209.439907886,52928311.86161297,1736102.4217
7.0,0.007,51471143.366610765,53199311.26517771,1728167.8986,51471143.366610765,53199311.26517771,1728167.8986
7.0,0.0075,51750279.05662608,53617699.95611925,1867420.8995,51750279.05662608,53617699.95611925,1867420.8995
7.0,0.008,52034982.1995121,53972386.75265894,1937404.5531,52034982.1995121,53972386.75265894,1937404.5531
7.0,0.0085,52330023.792603366,54313818.43271332,1983794.6401,52330023.792603366,54313818.43271332,1983794.6401
7.0,0.009,52643255.87804072,54682802.11770424,2039546.2397,52643255.87804072,54682802.11770424,2039546.2397
7.0,0.0095,52945530.86557305,55022183.68524876,2076652.8197,52945530.86557305,55022183.68524876,2076652.8197
7.0,0.01,53236218.2316208,55406018.431398354,2169800.1998,53236218.2316208,55406018.431398354,2169800.1998
7.0,0.0105,53482366.39195433,55668080.17716744,2185713.7852,53482366.39195433,55668080.17716744,2185713.7852
7.0,0.011,53688309.45425038,55931629.36303,2243319.9088,53688309.45425038,55931629.36303,2243319.9088
7.0,0.0115,53910335.37211666,56189111.49014478,2278776.118,53910335.37211666,56189111.49014478,2278776.118
7.0,0.012,54140236.29175208,56415293.76005104,2275057.4683,54140236.29175208,56415293.76005104,2275057.4683
7.0,0.0125,54353305.95695992,56676327.400694445,2323021.4437,54353305.95695992,56676327.400694445,2323021.4437
7.0,0.013,54569259.05972698,56860412.15702383,2291153.0973,54569259.05972698,56860412.15702383,2291153.0973
7.0,0.0135,54828792.842368565,57133279.22971671,2304486.3873,54828792.842368565,57133279.22971671,2304486.3873
7.0,0.014,55061306.52067894,57385532.20643726,2324225.6858,55061306.52067894,57385532.20643726,2324225.6858
7.0,0.0145,55277226.12598594,57621012.19784656,2343786.0719,55277226.12598594,57621012.19784656,2343786.0719
7.0,0.015,55525211.6844225,57892925.13240885,2367713.448,55525211.6844225,57892925.13240885,2367713.448
7.0,0.0155,55751823.23450241,58132684.26877482,2380861.0343,55751823.23450241,58132684.26877482,2380861.0343
7.0,0.016,56006543.07127029,58405335.19917798,2398792.1279,56006543.07127029,58405335.19917798,2398792.1279
7.0,0.0165,56252675.54270549,58643510.81775936,2390835.2751,56252675.54270549,58643510.81775936,2390835.2751
7.0,0.017,56491825.76950103,58901239.68999277,2409413.9205,56491825.76950103,58901239.68999277,2409413.9205
7.0,0.0175,56744339.26439714,59137351.5828168,2393012.3184,56744339.26439714,59137351.5828168,2393012.3184
7.0,0.018,56998361.64337353,59408202.4535805,2409840.8102,56998361.64337353,59408202.4535805,2409840.8102
7.0,0.0185,57233764.01117657,59628654.30874651,2394890.2976,57233764.01117657,59628654.30874651,2394890.2976
7.0,0.019,57489683.53387014,59867445.69415865,2377762.1603,57489683.53387014,59867445.69415865,2377762.1603
7.0,0.0195,57760121.13679541,60121784.63788208,2361663.5011,57760121.13679541,60121784.63788208,2361663.5011
7.0,0.02,58003031.37794682,60364779.61639354,2361748.2384,58003031.37794682,60364779.61639354,2361748.2384
