initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration,run_dir_path
0.013,5.0,1,4108818.8926018625,116936156.8723332,121044975.76493506,116936156.8723332,121044975.76493506,4108818.8926018625,4108818.8926018625,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0130
0.0135,5.0,1,3608279.4475403577,117749175.6896562,121357455.13719656,117749175.6896562,121357455.13719656,3608279.4475403577,3608279.4475403577,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0135
0.014,5.0,1,785977.2183891982,118568224.67350942,119354201.89189862,118568224.67350942,119354201.89189862,785977.2183891982,785977.2183891982,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0140
0.0145,5.0,1,391400.59976759553,119469844.00513725,119861244.60490485,119469844.00513725,119861244.60490485,391400.59976759553,391400.59976759553,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0145
0.0015,5.5,2,4040536.753908515,75127324.62667117,79167861.38057968,75127324.62667117,79167861.38057968,4040536.753908515,4040536.753908515,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0015
0.002,5.5,2,3256532.797608599,76998200.43887067,80254733.23647927,76998200.43887067,80254733.23647927,3256532.797608599,3256532.797608599,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0020
0.0025,5.5,2,2605525.526882112,78538566.3154272,81144091.84230931,78538566.3154272,81144091.84230931,2605525.526882112,2605525.526882112,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0025
0.003,5.5,2,2178773.647461787,79885207.6979673,82063981.3454291,79885207.6979673,82063981.3454291,2178773.647461787,2178773.647461787,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0030
0.0035,5.5,1,2018720.9566175789,81107820.99514921,83126541.95176679,81107820.99514921,83126541.95176679,2018720.9566175789,2018720.9566175789,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0035
0.004,5.5,2,2143458.7948866636,82131425.59267251,84274884.38755918,82131425.59267251,84274884.38755918,2143458.7948866636,2143458.7948866636,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0040
0.0045,5.5,2,2515258.630600095,82746701.86146332,85261960.49206342,82746701.86146332,85261960.49206342,2515258.630600095,2515258.630600095,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0045
0.005,5.5,2,2728583.7241428196,83387792.90987922,86116376.63402204,83387792.90987922,86116376.63402204,2728583.7241428196,2728583.7241428196,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0050
0.0055,5.5,2,2881120.732290715,83963895.28913057,86845016.02142128,83963895.28913057,86845016.02142128,2881120.732290715,2881120.732290715,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0055
0.006,5.5,2,3023669.199534014,84618316.05551143,87641985.25504544,84618316.05551143,87641985.25504544,3023669.199534014,3023669.199534014,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0060
0.0065,5.5,2,3158131.9286845475,85273544.48605949,88431676.41474403,85273544.48605949,88431676.41474403,3158131.9286845475,3158131.9286845475,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0065
0.007,5.5,2,3283509.2295498997,85960009.50685635,89243518.73640625,85960009.50685635,89243518.73640625,3283509.2295498997,3283509.2295498997,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0070
0.0075,5.5,2,3446375.0566616207,86615460.189009,90061835.24567062,86615460.189009,90061835.24567062,3446375.0566616207,3446375.0566616207,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0075
0.008,5.5,2,3617553.6001792103,87260917.9004021,90878471.50058131,87260917.9004021,90878471.50058131,3617553.6001792103,3617553.6001792103,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0080
0.0085,5.5,2,3682681.5921326727,87971206.64561963,91653888.2377523,87971206.64561963,91653888.2377523,3682681.5921326727,3682681.5921326727,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0085
0.009,5.5,2,3757948.255047992,88699065.16603868,92457013.42108667,88699065.16603868,92457013.42108667,3757948.255047992,3757948.255047992,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0090
0.0095,5.5,2,3866984.168348849,89423130.36209354,93290114.53044239,89423130.36209354,93290114.53044239,3866984.168348849,3866984.168348849,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0095
0.01,5.5,2,3958957.6735135615,90149049.05310354,94108006.7266171,90149049.05310354,94108006.7266171,3958957.6735135615,3958957.6735135615,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0100
0.0105,5.5,2,4014652.574437022,90692128.30143496,94706780.87587199,90692128.30143496,94706780.87587199,4014652.574437022,4014652.574437022,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0105
0.011,5.5,2,3997676.027410403,91278090.37987903,95275766.40728943,91278090.37987903,95275766.40728943,3997676.027410403,3997676.027410403,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0110
0.0115,5.5,2,4073726.5505944043,91782724.77529557,95856451.32588997,91782724.77529557,95856451.32588997,4073726.5505944043,4073726.5505944043,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0115
0.012,5.5,2,4080435.2070542276,92312397.21291271,96392832.41996694,92312397.21291271,96392832.41996694,4080435.2070542276,4080435.2070542276,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0120
0.0125,5.5,2,4080422.0585101694,92874836.68211117,96955258.74062134,92874836.68211117,96955258.74062134,4080422.0585101694,4080422.0585101694,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0125
0.013,5.5,2,4090834.696814552,93412743.96967877,97503578.66649333,93412743.96967877,97503578.66649333,4090834.696814552,4090834.696814552,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0130
0.0135,5.5,2,4071841.4290584177,93985015.47767958,98056856.906738,93985015.47767958,98056856.906738,4071841.4290584177,4071841.4290584177,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0135
0.014,5.5,2,4095264.9825116843,94515745.1561218,98611010.13863349,94515745.1561218,98611010.13863349,4095264.9825116843,4095264.9825116843,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0140
