initial_Z,initial_mass,run_dir_path,blue_loop_crossing_count,blue_loop_duration_yr,max_log_L,max_log_Teff,max_log_R,first_model_number,last_model_number,first_age_yr,last_age_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration
0.0055,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0055,2,3696620.5380246043,3.443349718232375,3.8886488696690873,1.7968928161334266,1915,2072,103679177.95111173,107358160.6954527,103679177.95111173,107375798.48913634,103679177.95111173,107375798.48913634,3696620.5380246043,3696620.5380246043
0.006,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0060,2,3859024.4196228385,3.4267597556861364,3.887658094847958,1.7944573959844452,1920,2078,104564129.53499947,108417915.17442456,104564129.53499947,108423153.95462231,104564129.53499947,108423153.95462231,3859024.4196228385,3859024.4196228385
0.0065,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0065,2,4089357.0229679197,3.410669087007206,3.8824100932259205,1.7851304252094338,1940,2092,105429242.42156555,109508337.76260753,105429242.42156555,109518599.44453347,105429242.42156555,109518599.44453347,4089357.0229679197,4089357.0229679197
0.007,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0070,2,4209263.2009988725,3.3950784435039667,3.8750490555403103,1.7781274127300026,1952,2103,106385210.6763596,110579977.36053704,106385210.6763596,110594473.87735847,106385210.6763596,110594473.87735847,4209263.2009988725,4209263.2009988725
0.0075,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0075,2,4366397.977639824,3.3792093002642867,3.865618736275107,1.7665760803808779,1988,2139,107303097.78632094,111656754.41069849,107303097.78632094,111669495.76396076,107303097.78632094,111669495.76396076,4366397.977639824,4366397.977639824
0.008,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0080,2,4508573.95365198,3.3624966205599462,3.8560247113401243,1.7593510250612239,2003,2163,108284381.34639464,112781947.74650517,108284381.34639464,112792955.30004662,108284381.34639464,112792955.30004662,4508573.95365198,4508573.95365198
0.0085,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0085,2,4682457.947767213,3.345874472753628,3.8457292410905586,1.7522559871187784,2042,2212,109236234.16061027,113905099.71154526,109236234.16061027,113918692.10837749,109236234.16061027,113918692.10837749,4682457.947767213,4682457.947767213
0.009,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0090,2,4748977.982742533,3.328619128017509,3.834277634073661,1.743841493610134,2073,2246,110254506.3940746,114985744.22336686,110254506.3940746,115003484.37681714,110254506.3940746,115003484.37681714,4748977.982742533,4748977.982742533
0.0095,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0095,2,4861359.452232778,3.3110475027744757,3.8230659968983742,1.7347231848873386,2110,2301,111266734.79048903,116104684.16520052,111266734.79048903,116128094.24272181,111266734.79048903,116128094.24272181,4861359.452232778,4861359.452232778
0.01,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0100,2,4795348.27878803,3.2928020373235656,3.8113037025871606,1.722014099450509,2132,2330,112315314.43879415,117084991.46874434,112315314.43879415,117110662.71758218,112315314.43879415,117110662.71758218,4795348.27878803,4795348.27878803
0.0105,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0105,2,4806921.943638295,3.2811308875282297,3.8023207783486686,1.7193618267701334,2145,2334,113133619.62764692,117894241.93050303,113133619.62764692,117940541.57128522,113133619.62764692,117940541.57128522,4806921.943638295,4806921.943638295
0.011,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0110,1,4766094.739511415,3.2686768218953377,3.794349584647567,1.7119794443693952,2183,2364,113852095.94572358,118587382.48092005,113852095.94572358,118618190.685235,113852095.94572358,118618190.685235,4766094.739511415,4766094.739511415
0.0115,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0115,1,4662999.9018325955,3.2561133924595262,3.7853366449691905,1.7019032026550782,2121,2284,114607981.00483292,119186542.795048,114607981.00483292,119270980.90666552,114607981.00483292,119270980.90666552,4662999.9018325955,4662999.9018325955
0.012,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0120,1,4551780.630154252,3.2433433119863775,3.776462551070416,1.6984683247070684,2135,2281,115383689.39899094,119891622.51918031,115383689.39899094,119935470.0291452,115383689.39899094,119935470.0291452,4551780.630154252,4551780.630154252
0.0125,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0125,1,4330286.379031852,3.230548831513924,3.767621850816127,1.6914197476634456,2147,2276,116175742.21446604,120453599.88093121,116175742.21446604,120506028.59349789,116175742.21446604,120506028.59349789,4330286.379031852,4330286.379031852
0.013,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0130,1,4108818.8926018625,3.2175275437647284,3.7591097333973824,1.6838598484532699,2159,2273,116936156.8723332,120999822.91263255,116936156.8723332,121044975.76493506,116936156.8723332,121044975.76493506,4108818.8926018625,4108818.8926018625
0.0135,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0135,1,3608279.4475403577,3.2023831702445738,3.750206340399073,1.6752725184779675,2167,2259,117749175.6896562,121291760.16004471,117749175.6896562,121357455.13719656,117749175.6896562,121357455.13719656,3608279.4475403577,3608279.4475403577
0.014,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0140,1,785977.2183891982,3.1651484653359825,3.7409019212149066,1.6484153964988824,2174,2196,118568224.67350942,119314375.08698834,118568224.67350942,119354201.89189862,118568224.67350942,119354201.89189862,785977.2183891982,785977.2183891982
0.0145,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0145,1,391400.59976759553,3.151427059472188,3.7312798207648896,1.6427807222857334,2190,2198,119469844.00513725,119802664.02853821,119469844.00513725,119861244.60490485,119469844.00513725,119861244.60490485,391400.59976759553,391400.59976759553
0.0015,5.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0015,2,4040536.753908515,3.7265249276662797,3.940771835867422,1.9821521011947207,1733,1968,75127324.62667117,79166545.9633128,75127324.62667117,79167861.38057968,75127324.62667117,79167861.38057968,4040536.753908515,4040536.753908515
0.002,5.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0020,2,3256532.797608599,3.690636066923841,3.8694684688927095,1.9621082711998745,1772,1949,76998200.43887067,80251757.9230287,76998200.43887067,80254733.23647927,76998200.43887067,80254733.23647927,3256532.797608599,3256532.797608599
0.0025,5.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0025,2,2605525.526882112,3.6628968730964266,3.825375684126882,1.9473129318373537,1794,1969,78538566.3154272,81129395.60792778,78538566.3154272,81144091.84230931,78538566.3154272,81144091.84230931,2605525.526882112,2605525.526882112
0.003,5.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0030,2,2178773.647461787,3.6372781162707724,3.79400890170968,1.9354623407063123,1821,2006,79885207.6979673,82045920.94505508,79885207.6979673,82063981.3454291,79885207.6979673,82063981.3454291,2178773.647461787,2178773.647461787
0.0035,5.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0035,1,2018720.9566175789,3.6171294480037384,3.7874503517042815,1.9208127573182572,1839,1999,81107820.99514921,83118620.30690038,81107820.99514921,83126541.95176679,81107820.99514921,83126541.95176679,2018720.9566175789,2018720.9566175789
0.004,5.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0040,2,2143458.7948866636,3.6038025433604166,3.803843252858203,1.9095176901152668,1858,2026,82131425.59267251,84271528.76494028,82131425.59267251,84274884.38755918,82131425.59267251,84274884.38755918,2143458.7948866636,2143458.7948866636
0.0045,5.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0045,2,2515258.630600095,3.6070819501847993,3.8480576172725285,1.902634695726145,1864,2034,82746701.86146332,85260061.19347367,82746701.86146332,85261960.49206342,82746701.86146332,85261960.49206342,2515258.630600095,2515258.630600095
0.005,5.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0050,2,2728583.7241428196,3.6022443232203587,3.8789404528976825,1.897130057901558,1876,2053,83387792.90987922,86114785.17991589,83387792.90987922,86116376.63402204,83387792.90987922,86116376.63402204,2728583.7241428196,2728583.7241428196
