initial_mass,initial_Z,mesa_run_directory,min_model_number,max_model_number
6.0,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0030,1826.0,2004.0
6.0,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0035,1844.0,2012.0
6.0,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0040,1859.0,2021.0
6.0,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0045,1863.0,2032.0
6.0,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0050,1878.0,2057.0
6.0,0.0055,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0055,1889.0,2074.0
6.0,0.0060,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0060,1893.0,2096.0
6.0,0.0065,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0065,1898.0,2100.0
6.0,0.0070,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0070,1934.0,2136.0
6.0,0.0075,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0075,1946.0,2147.0
6.0,0.0080,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0080,1970.0,2173.0
6.0,0.0085,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0085,1999.0,2198.0
6.0,0.0090,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0090,2012.0,2207.0
6.0,0.0095,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0095,2034.0,2217.0
6.0,0.0100,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0100,2076.0,2254.0
6.0,0.0105,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0105,2084.0,2255.0
6.0,0.0110,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0110,2110.0,2280.0
6.0,0.0115,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0115,2124.0,2292.0
6.0,0.0120,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0120,2143.0,2312.0
6.0,0.0125,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0125,2092.0,2266.0
6.0,0.0130,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0130,2101.0,2275.0
6.0,0.0135,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0135,2120.0,2291.0
6.0,0.0140,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0140,2125.0,2296.0
6.0,0.0145,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0145,2136.0,2310.0
6.0,0.0150,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0150,2156.0,2334.0
6.0,0.0155,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0155,2170.0,2354.0
6.0,0.0160,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0160,2178.0,2372.0
6.0,0.0165,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0165,2187.0,2377.0
6.0,0.0170,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0170,2188.0,2370.0
6.0,0.0175,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0175,2293.0,2478.0
6.0,0.0180,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0180,2303.0,2470.0
6.0,0.0185,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0185,2313.0,2468.0
6.0,0.0190,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0190,2329.0,2467.0
6.0,0.0195,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0195,2344.0,2465.0
6.0,0.0200,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0200,2364.0,2474.0
6.5,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0015,1731.0,2010.0
6.5,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0020,1757.0,1958.0
6.5,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0025,1785.0,1945.0
6.5,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0030,1809.0,1977.0
6.5,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0035,1817.0,1978.0
6.5,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0040,1862.0,2014.0
6.5,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0045,1853.0,2006.0
6.5,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0050,1875.0,2049.0
6.5,0.0055,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0055,1898.0,2098.0
6.5,0.0060,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0060,1892.0,2117.0
6.5,0.0065,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0065,1871.0,2097.0
6.5,0.0070,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0070,1904.0,2124.0
6.5,0.0075,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0075,1948.0,2181.0
6.5,0.0080,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0080,1948.0,2183.0
6.5,0.0085,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0085,1992.0,2219.0
6.5,0.0090,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0090,2004.0,2233.0
6.5,0.0095,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0095,2009.0,2228.0
6.5,0.0100,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0100,2060.0,2269.0
6.5,0.0105,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0105,2083.0,2288.0
6.5,0.0110,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0110,2103.0,2309.0
6.5,0.0115,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0115,2108.0,2302.0
6.5,0.0120,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0120,2095.0,2288.0
6.5,0.0125,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0125,2146.0,2332.0
6.5,0.0130,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0130,2099.0,2275.0
6.5,0.0135,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0135,2116.0,2297.0
6.5,0.0140,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0140,2124.0,2297.0
6.5,0.0145,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0145,2138.0,2313.0
6.5,0.0150,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0150,2142.0,2316.0
6.5,0.0155,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0155,2119.0,2293.0
6.5,0.0160,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0160,2164.0,2344.0
6.5,0.0165,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0165,2171.0,2349.0
6.5,0.0170,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0170,2184.0,2363.0
6.5,0.0175,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0175,2181.0,2356.0
6.5,0.0180,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0180,2199.0,2370.0
6.5,0.0185,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0185,2267.0,2443.0
6.5,0.0190,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0190,2280.0,2473.0
6.5,0.0195,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0195,2321.0,2500.0
6.5,0.0200,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.5MSUN_z0.0200,2332.0,2513.0
