initial_mass,initial_Z,mesa_run_directory,min_model_number,max_model_number
6.0,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0030,1848,1871
6.0,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0035,1867,1910
6.0,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0040,1886,1973
6.0,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0045,1901,2037
6.0,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0050,1910,2047
6.0,0.0055,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0055,1932,2084
6.0,0.0060,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0060,1929,2083
6.0,0.0065,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0065,1957,2107
6.0,0.0070,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0070,1970,2132
6.0,0.0075,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0075,1974,2133
6.0,0.0080,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0080,2004,2155
6.0,0.0085,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0085,2039,2187
6.0,0.0090,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0090,2064,2201
6.0,0.0095,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0095,2070,2204
6.0,0.0100,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0100,2085,2214
6.0,0.0105,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0105,2100,2225
6.0,0.0110,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0110,2135,2253
6.0,0.0115,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0115,2117,2231
6.0,0.0120,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0120,2136,2250
6.0,0.0125,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0125,2139,2249
6.0,0.0130,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0130,2142,2245
6.0,0.0135,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0135,2167,2258
6.0,0.0140,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0140,2167,2252
6.0,0.0145,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0145,2175,2245
6.0,0.0150,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0150,2184,2233
6.0,0.0155,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0155,2211,2249
6.0,0.0160,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0160,2213,2238
