initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration,run_dir_path
0.0065,5.5,2,2017510.2112273425,90589980.896889,92607491.10811634,90589980.896889,92607491.10811634,2017510.2112273425,2017510.2112273425,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0065
0.007,5.5,2,2033087.7903045863,91390474.93462321,93423562.7249278,91390474.93462321,93423562.7249278,2033087.7903045863,2033087.7903045863,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0070
0.0075,5.5,2,2101255.8844890743,92136966.66535532,94238222.5498444,92136966.66535532,94238222.5498444,2101255.8844890743,2101255.8844890743,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0075
0.008,5.5,2,2114196.4608681947,92931401.07188557,95045597.53275377,92931401.07188557,95045597.53275377,2114196.4608681947,2114196.4608681947,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0080
0.0085,5.5,2,2092337.4487416446,93736995.14653179,95829332.59527344,93736995.14653179,95829332.59527344,2092337.4487416446,2092337.4487416446,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0085
0.009,5.5,2,2093974.533496365,94560908.0968678,96654882.63036416,94560908.0968678,96654882.63036416,2093974.533496365,2093974.533496365,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0090
0.0095,5.5,2,1991764.4911672324,95388192.15117729,97379956.64234452,95388192.15117729,97379956.64234452,1991764.4911672324,1991764.4911672324,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0095
0.01,5.5,2,1901510.1264893264,96218873.92248173,98120384.04897106,96218873.92248173,98120384.04897106,1901510.1264893264,1901510.1264893264,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0100
0.0105,5.5,1,1869716.8756910115,96827434.6572953,98697151.53298631,96827434.6572953,98697151.53298631,1869716.8756910115,1869716.8756910115,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0105
0.011,5.5,1,1785248.9343242347,97433364.42411919,99218613.35844342,97433364.42411919,99218613.35844342,1785248.9343242347,1785248.9343242347,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0110
0.0115,5.5,1,1605978.3303695917,98019271.54114917,99625249.87151876,98019271.54114917,99625249.87151876,1605978.3303695917,1605978.3303695917,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0115
