mass,Z,model_number,profile_number,log_L,log_Teff,star_mass_mesa,freq_real,freq_imag,l,n_pg,eta,detail_file_path,profile_folder_path,center_h1,star_age,log_g,integrated_work_HeII_zone,integrated_work_HHeI_zone
5.0,0.006,2040,8,3.421922352273583,3.803251678126976,5.0,0.2893606909662558,-0.0018929771923169873,0,2,-0.3496561835459866,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00008/detail.l0.n+2.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00008,0.0,107938204.50427867,1.8828156701444776,,0.1320548845042288
5.0,0.006,2040,8,3.421922352273583,3.803251678126976,5.0,0.5457547992671364,-0.013923288713211704,0,5,-0.9996677850167897,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00008/detail.l0.n+5.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00008,0.0,107938204.50427867,1.8828156701444776,,-4.181458966972247
5.0,0.006,2050,9,3.4176245709612663,3.7798844780264966,5.0,0.17243392449089678,-0.00015714617098506762,0,1,-0.10415858749995159,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00009/detail.l0.n+1.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00009,2.447854234012619e-42,108097078.25229648,1.793644651054878,,0.05979850999643492
5.0,0.006,2050,9,3.4176245709612663,3.7798844780264966,5.0,0.24344423302977455,-7.888892905838652e-05,0,2,-0.014702409206554707,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00009/detail.l0.n+2.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00009,2.447854234012619e-42,108097078.25229648,1.793644651054878,,0.44955081282975173
5.0,0.006,2050,9,3.4176245709612663,3.7798844780264966,5.0,0.3210798722956109,-0.002443276099444427,0,3,-0.6435514524998726,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00009/detail.l0.n+3.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00009,2.447854234012619e-42,108097078.25229648,1.793644651054878,,0.12807999215263294
5.0,0.006,2050,9,3.4176245709612663,3.7798844780264966,5.0,0.9759513151399183,-0.01767228570298439,0,11,-0.45994132370998964,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00009/detail.l0.n+11.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00009,2.447854234012619e-42,108097078.25229648,1.793644651054878,,7.994669695822601
5.0,0.006,2060,10,3.412140998046732,3.756593553790229,5.0,0.14459923473312425,0.00017025666677903035,0,1,0.10581535217011033,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00010/detail.l0.n+1.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00010,1.3766836113121739e-40,108215202.4058784,1.705964527024339,,0.11564295382990761
5.0,0.006,2060,10,3.412140998046732,3.756593553790229,5.0,0.20453288977768216,0.000799136095023886,0,2,0.17125093356334095,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00010/detail.l0.n+2.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00010,1.3766836113121739e-40,108215202.4058784,1.705964527024339,,0.6238785706078442
5.0,0.006,2060,10,3.412140998046732,3.756593553790229,5.0,0.27489974520455557,-0.0012551654664337117,0,3,-0.32363238242714815,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00010/detail.l0.n+3.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00010,1.3766836113121739e-40,108215202.4058784,1.705964527024339,,0.44720887032342693
5.0,0.006,2060,10,3.412140998046732,3.756593553790229,5.0,0.7785962587723723,-0.01830854393412495,0,10,-0.602355788602004,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00010/detail.l0.n+10.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00010,1.3766836113121739e-40,108215202.4058784,1.705964527024339,,1.7415850371934614
5.0,0.006,2070,11,3.4053300374977487,3.7308487483328254,5.0,0.11824872789686701,0.00030258122210907127,0,1,0.1996273992800905,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00011/detail.l0.n+1.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00011,0.0,108369173.72907862,1.6097962657437133,,0.12662953450572273
5.0,0.006,2070,11,3.4053300374977487,3.7308487483328254,5.0,0.169182030866681,0.0007902562095685616,0,2,0.2240306164793716,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00011/detail.l0.n+2.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00011,0.0,108369173.72907862,1.6097962657437133,,0.5105990070518689
5.0,0.006,2070,11,3.4053300374977487,3.7308487483328254,5.0,0.2329185358123762,-0.0009567131541657475,0,3,-0.29356201437599033,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00011/detail.l0.n+3.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00011,0.0,108369173.72907862,1.6097962657437133,,0.26100594428853785
5.0,0.006,2070,11,3.4053300374977487,3.7308487483328254,5.0,0.29803410146045906,-0.004108679081684317,0,4,-0.5992779779040863,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00011/detail.l0.n+4.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00011,0.0,108369173.72907862,1.6097962657437133,,-1.1029231907968364
5.0,0.0075,1990,3,3.2979257537306665,3.7233835548689385,5.0,0.13613311827780245,0.0002791632816763248,0,1,0.2201049217684222,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0075/profile00003/detail.l0.n+1.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0075/profile00003,7.240946636963489e-31,107318950.31208242,1.6873397756552468,,0.10119663300814263
5.0,0.0075,1990,3,3.2979257537306665,3.7233835548689385,5.0,0.1954017519209438,0.0009256899951189467,0,2,0.2549014676455522,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0075/profile00003/detail.l0.n+2.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0075/profile00003,7.240946636963489e-31,107318950.31208242,1.6873397756552468,,0.468414673295533
5.0,0.0075,1990,3,3.2979257537306665,3.7233835548689385,5.0,0.26697940202170695,-6.727411076768477e-05,0,3,-0.02014572396969043,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0075/profile00003/detail.l0.n+3.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0075/profile00003,7.240946636963489e-31,107318950.31208242,1.6873397756552468,,0.38636152248464173
5.0,0.0075,1990,3,3.2979257537306665,3.7233835548689385,5.0,0.49517679830753436,-0.0071772781798949995,0,6,-0.5643956652058323,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0075/profile00003/detail.l0.n+6.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0075/profile00003,7.240946636963489e-31,107318950.31208242,1.6873397756552468,,-3.9595663543042967
5.0,0.0075,2000,4,3.307713419029356,3.7443938860075674,5.0,0.15953806258425923,0.00020094323701563276,0,1,0.15235701279463348,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0075/profile00004/detail.l0.n+1.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0075/profile00004,0.0,107415523.49377532,1.7615934349110662,,0.08621170091047742
