initial_mass,initial_Z,mesa_run_directory,min_model_number,max_model_number
5.0,0.0155,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0155,2173.0,2354.0
5.0,0.0160,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0160,2171.0,2331.0
5.0,0.0165,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0165,2313.0,2448.0
5.0,0.0170,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0170,2331.0,2453.0
5.0,0.0175,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0175,2343.0,2361.0
5.0,0.0180,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0180,2349.0,2358.0
5.5,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0015,1689.0,1993.0
5.5,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0020,1729.0,1955.0
5.5,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0025,1758.0,1970.0
5.5,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0030,1777.0,1971.0
5.5,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0035,1803.0,1994.0
5.5,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0040,1843.0,2005.0
5.5,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0045,1843.0,2013.0
5.5,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0050,1851.0,2026.0
5.5,0.0055,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0055,1880.0,2053.0
5.5,0.0060,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0060,1869.0,2037.0
5.5,0.0065,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0065,1881.0,2076.0
5.5,0.0070,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0070,1903.0,2097.0
5.5,0.0075,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0075,1933.0,2124.0
5.5,0.0080,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0080,1958.0,2145.0
5.5,0.0085,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0085,1975.0,2167.0
5.5,0.0090,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0090,2008.0,2198.0
