initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration,run_dir_path
0.0125,4.5,1,953775.4638647437,141391954.66244876,142345730.1263135,141391954.66244876,142345730.1263135,953775.4638647437,953775.4638647437,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0125
0.013,4.5,1,369327.02307733893,142498403.3219641,142867730.34504142,142498403.3219641,142867730.34504142,369327.02307733893,369327.02307733893,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0130
0.0015,5.0,2,7038473.882334217,86177196.00510639,93215669.8874406,86177196.00510639,93215669.8874406,7038473.882334217,7038473.882334217,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0015
0.002,5.0,2,6087917.8698375225,88743463.88909468,94831381.7589322,88743463.88909468,94831381.7589322,6087917.8698375225,6087917.8698375225,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0020
0.0025,5.0,2,5065430.282983661,91007070.33964604,96072500.6226297,91007070.33964604,96072500.6226297,5065430.282983661,5065430.282983661,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0025
0.003,5.0,2,3985787.2757516503,93235289.88705264,97221077.16280429,93235289.88705264,97221077.16280429,3985787.2757516503,3985787.2757516503,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0030
0.0035,5.0,1,2890333.075418249,95398924.95567966,98289258.0310979,95398924.95567966,98289258.0310979,2890333.075418249,2890333.075418249,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0035
0.004,5.0,1,2349965.169564575,97256956.96895072,99606922.1385153,97256956.96895072,99606922.1385153,2349965.169564575,2349965.169564575,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0040
0.0045,5.0,1,2333399.084626496,98451730.75343305,100785129.83805954,98451730.75343305,100785129.83805954,2333399.084626496,2333399.084626496,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0045
0.005,5.0,2,3486715.0711969584,99003479.46520945,102490194.53640641,99003479.46520945,102490194.53640641,3486715.0711969584,3486715.0711969584,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0050
0.0055,5.0,2,3846946.930438295,99727783.77068734,103574730.70112564,99727783.77068734,103574730.70112564,3846946.930438295,3846946.930438295,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0055
0.006,5.0,2,4226570.121648565,100387362.60913156,104613932.73078012,100387362.60913156,104613932.73078012,4226570.121648565,4226570.121648565,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0060
0.0065,5.0,2,4632275.454566613,101057542.68319467,105689818.13776128,101057542.68319467,105689818.13776128,4632275.454566613,4632275.454566613,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0065
0.007,5.0,2,5017606.132975191,101779404.54827744,106797010.68125263,101779404.54827744,106797010.68125263,5017606.132975191,5017606.132975191,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0070
0.0075,5.0,2,5356967.11394535,102517552.3232796,107874519.43722495,102517552.3232796,107874519.43722495,5356967.11394535,5356967.11394535,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0075
0.008,5.0,2,5673390.855109379,103247499.41130432,108920890.2664137,103247499.41130432,108920890.2664137,5673390.855109379,5673390.855109379,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0080
