initial_mass,initial_Z,blue_loop_start_age,blue_loop_end_age,calculated_blue_loop_duration,instability_start_age,instability_end_age,calculated_instability_duration
7.0,0.004,47125626.60663616,49027342.38714124,1901715.7805,47125626.60663616,49027342.38714124,1901715.7805
7.0,0.0045,47592278.40505902,49350406.4102853,1758128.0052,47592278.40505902,49350406.4102853,1758128.0052
7.0,0.005,47978146.64939775,49750359.43451053,1772212.7851,47978146.64939775,49750359.43451053,1772212.7851
7.0,0.0055,48285208.652202114,50145974.51822319,1860765.866,48285208.652202114,50145974.51822319,1860765.866
7.0,0.006,48611313.45356166,50562941.08418615,1951627.6306,48611313.45356166,50562941.08418615,1951627.6306
7.0,0.0065,48825927.66048133,50884986.16176797,2059058.5013,48825927.66048133,50884986.16176797,2059058.5013
7.0,0.007,49095256.53195073,51193640.86185696,2098384.3299,49095256.53195073,51193640.86185696,2098384.3299
7.0,0.0075,49336028.43300477,51551723.99690558,2215695.5639,49336028.43300477,51551723.99690558,2215695.5639
7.0,0.008,49542725.15454247,51925668.421350025,2382943.2668,49542725.15454247,51925668.421350025,2382943.2668
7.0,0.0085,49787239.17381556,52258993.35285885,2471754.179,49787239.17381556,52258993.35285885,2471754.179
7.0,0.009,50025091.62973712,52622393.00934703,2597301.3796,50025091.62973712,52622393.00934703,2597301.3796
7.0,0.0095,50281936.03761474,52997547.37125942,2715611.3336,50281936.03761474,52997547.37125942,2715611.3336
7.0,0.01,50533217.097846106,53355431.34066472,2822214.2428,50533217.097846106,53355431.34066472,2822214.2428
7.0,0.0105,50737671.28971681,53621588.06458856,2883916.7749,50737671.28971681,53621588.06458856,2883916.7749
7.0,0.011,50906390.74579174,53827977.5406389,2921586.7948,50906390.74579174,53827977.5406389,2921586.7948
7.0,0.0115,51097220.883204594,54099764.44430675,3002543.5611,51097220.883204594,54099764.44430675,3002543.5611
7.0,0.012,51298856.17561041,54351050.59941929,3052194.4238,51298856.17561041,54351050.59941929,3052194.4238
7.0,0.0125,51444632.339769416,54637894.71967084,3193262.3799,51444632.339769416,54637894.71967084,3193262.3799
7.0,0.013,51653925.91337379,54875973.968712114,3222048.0553,51653925.91337379,54875973.968712114,3222048.0553
7.0,0.0135,51856550.40165343,55102803.40542158,3246253.0038,51856550.40165343,55102803.40542158,3246253.0038
7.0,0.014,52055298.37006934,55372025.792012215,3316727.4219,52055298.37006934,55372025.792012215,3316727.4219
7.0,0.0145,52255632.53280698,55665586.81941149,3409954.2866,52255632.53280698,55665586.81941149,3409954.2866
7.0,0.015,52473708.031295925,55906912.73908539,3433204.7078,52473708.031295925,55906912.73908539,3433204.7078
7.0,0.0155,52672847.15463812,56165182.79120332,3492335.6366,52672847.15463812,56165182.79120332,3492335.6366
7.0,0.016,52879238.83414639,56377958.20945368,3498719.3753,52879238.83414639,56377958.20945368,3498719.3753
7.0,0.0165,53090126.67669617,56655124.58106992,3564997.9044,53090126.67669617,56655124.58106992,3564997.9044
7.0,0.017,53327158.81414521,56857938.82201848,3530780.0079,53327158.81414521,56857938.82201848,3530780.0079
7.0,0.0175,53524698.16661124,57102025.475625634,3577327.309,53524698.16661124,57102025.475625634,3577327.309
7.0,0.018,53786659.093351535,57330949.29486861,3544290.2015,53786659.093351535,57330949.29486861,3544290.2015
7.0,0.0185,53991112.2294879,57595117.23930327,3604005.0098,53991112.2294879,57595117.23930327,3604005.0098
7.0,0.019,54205976.33619291,57839597.60077865,3633621.2646,54205976.33619291,57839597.60077865,3633621.2646
7.0,0.0195,54439644.40313092,58102685.64145103,3663041.2383,54439644.40313092,58102685.64145103,3663041.2383
7.0,0.02,54688179.46168455,58371602.30216051,3683422.8405,54688179.46168455,58371602.30216051,3683422.8405
7.5,0.0015,38073934.298528105,38087696.328298576,13762.0298,38073934.298528105,38087696.328298576,13762.0298
7.5,0.002,38802368.43315558,41498812.92696935,2696444.4938,38802368.43315558,41498812.92696935,2696444.4938
7.5,0.0025,39413314.21524091,41822255.82646134,2408941.6112,39413314.21524091,41822255.82646134,2408941.6112
7.5,0.003,40030135.48422999,42117634.83443421,2087499.3502,40030135.48422999,42117634.83443421,2087499.3502
7.5,0.0035,40627815.5341431,42477017.37203805,1849201.8379,40627815.5341431,42477017.37203805,1849201.8379
7.5,0.004,41190393.70656551,42802924.1998748,1612530.4933,41190393.70656551,42802924.1998748,1612530.4933
7.5,0.0045,41592122.13504023,43062226.16392773,1470104.0289,41592122.13504023,43062226.16392773,1470104.0289
7.5,0.005,41868539.72769102,43374786.10401183,1506246.3763,41868539.72769102,43374786.10401183,1506246.3763
7.5,0.0055,42125572.387110405,43636866.98770447,1511294.6006,42125572.387110405,43636866.98770447,1511294.6006
7.5,0.006,42322020.01736108,43984350.575359486,1662330.558,42322020.01736108,43984350.575359486,1662330.558
7.5,0.0065,42507194.88477067,42531490.55411986,24295.6693,42507194.88477067,42531490.55411986,24295.6693
7.5,0.007,42742975.08155761,44543462.11839842,1800487.0368,42742975.08155761,44543462.11839842,1800487.0368
7.5,0.0075,42906256.78869605,44764155.883752495,1857899.0951,42906256.78869605,44764155.883752495,1857899.0951
7.5,0.008,43108073.67450876,45046192.53103002,1938118.8565,43108073.67450876,45046192.53103002,1938118.8565
